"IdReferencia","Descripcion","seleccion","usuario","feccre","fecultmod","deleted_at"
"20","COMPRA DE DÓLARES BILLETES",,"1","2010-03-09 12:00:37",,
"21","VENTA DE DÓLARES BILLETES",,"1","2010-03-09 12:00:58",,
"22","COD 610 Fletes de importación ganados por buques",,"1","2010-03-09 12:02:54","2013-08-22 16:47:40",
"23","VENTA DE EURO BILLETES",,"1","2010-03-09 12:03:09",,
"24","CONTRA PARTIDA",,"1","2010-03-09 13:55:29",,
"25","COD 627 Pago de Patentes y marcas",,"1","2010-03-17 09:27:27","2013-08-22 16:58:16",
"26","OPERACIONES DE MERCADO",,"1","2010-03-26 14:30:56",,
"27","COD 104 PreFi de Expo otorgadas por bancos locales",,"1","2010-05-04 10:25:24","2013-08-22 16:41:57",
"28","COD 344 Cobros de intereses del exterior",,"1","2010-05-17 10:54:00","2013-08-22 16:54:18",
"29","SUSCRIPCION DE SERVICIOS ",,"1","2010-07-19 12:35:26",,
"30","CESIÓN DE BONOS FISCALES ",,"1","2010-09-17 09:25:55",,
"31","BONOS FISCALES DECRETO 379/01",,"1","2010-10-12 14:53:06",,
"32","CESIÓN DE IVA DE EXPORTACIÓN",,"1","2011-01-26 09:52:35",,
"33","COBRO DE SERVICIOS ",,"1","2011-07-19 12:30:23","2011-08-04 11:10:29",
"34","COD 228 Cobro de Regalías",,"1","2011-12-05 10:43:15","2013-08-22 16:56:51",
"35","COD 447 APORTE DE CAPITAL ",,"1","2011-12-14 12:56:06","2013-05-21 11:14:12",
"36","CANCELACION DE PRESTAMO EN M/E",,"1","2011-12-22 11:39:37",,
"37","IVA DE EXPORTACIÓN",,"1","2012-01-11 14:45:32",,
"38","COD 452 PRESTAMOS + DE 1 AÑO DE PLAZO",,"1","2012-02-16 11:03:28","2013-08-22 16:35:23",
"39","COD 573 Ingresos de no residentes para el pago de impuestos, tasas y otras contribuciones ",,"1","2012-03-20 11:17:14","2013-08-22 16:32:43",
"40","COD 570 Recuperos de impuestos pagados por beneficiarios del exterior",,"1","2012-03-20 11:18:00","2013-08-22 16:36:25",
"41","COD 876 Compra de M/E para su entrega a la entidad en pago de financiaciones locales ",,"1","2012-03-21 13:56:56","2013-08-22 16:31:17",
"42","COD 231 Servicios empresariales profesionales y técnicos",,"1","2012-07-03 12:46:49","2013-08-22 16:35:52",
"43","COD 877 Otras Repatriación de inversiones directas en el país de no residentes",,"1","2012-08-15 11:48:59","2013-08-22 16:33:10",
"44","COD 852 PAGO PRESTAMO FINANCIERO DE MAS DE 1 AÑO DE PLAZO",,"1","2012-11-01 18:16:46","2013-08-22 16:34:50",
"45","COD 744 PAGO DE INTERESES AL EXTERIOR POR DEUDAS",,"1","2012-11-01 18:21:27","2013-08-22 16:33:51",
"46","COD 113 OP Cobros de Expo embarcadas, con permiso de embarque definitivo pendiente",,"1","2012-11-30 10:32:33","2013-08-22 16:44:00",
"47","COD 345 Utilidades y dividendos del exterior",,"1","2013-01-03 13:54:25","2013-08-22 16:54:49",
"48","COD 223 Servicios de Comunicaciones ",,"1","2013-02-01 13:12:28","2013-05-21 11:12:36",
"49","COD 111 Financiación de entidades financieras locales de créditos a cobrar por exportaciones de bien",,"1","2013-02-14 12:05:43",,
"50","INTERESES DE PRESTAMO FINANCIERO",,"1","2013-02-14 13:01:23",,
"51","COD 476 - Venta de moneda extranjera por otras financiaciones locales otorgadas por la entidad ",,"1","2013-03-21 11:28:12","2013-05-21 11:15:12",
"52","COD 106 Cobros de mercaderías no salidas del país y vendidas a terceros países",,"1","2013-04-29 10:22:13",,
"53","COD 613 OTROS FLETES",,"1","2013-05-21 11:12:24",,
"54","COD 163 Pagos de deudas financieras al exterior originadas en compras de mercancías no  ",,"1","2013-06-17 11:57:30","2013-08-22 16:28:22",
"55","COD 116 Cobros Anticipados de Expo aplicados a la Canc de Prefi de Exportaciones",,"1","2013-07-30 11:42:39","2013-08-22 16:39:19",
"56","COD 226 GASTOS MEDICOS",,"1","2013-08-01 14:59:34",,
"57","COD 610 FLETES DE IMPORTACION GANADOS POR BUQUES",,"1","2013-08-21 11:08:33",,
"58","COD 748 RENTA PAGADA A ENTIDADES FINANCIERAS",,"1","2013-09-13 11:35:31","2013-09-13 11:36:26",
"59","COD 107 - Devolución de pagos de importaciones de bienes sin registro de ingreso aduanero",,"1","2013-09-16 17:51:25","2013-09-16 17:52:51",
"60","B13 Pagos anticipados por la importación de medicamentos críticos Decreto N° 333/20 ",,"1","2013-10-03 15:58:58","2020-07-05 12:53:32",
"61","COD 631 Servicios empresariales profesionales y técnicos.",,"1","2013-10-09 13:10:05",,
"62","COD 612 Fletes de importación ganados por medios terrestres.",,"1","2013-10-09 13:10:26",,
"63","COD 618 Arrendamiento de contenedores, espacios o depósitos en puertos.",,"1","2013-12-18 15:00:21",,
"64","COD 632 Comisones bancarias y otros servicios financieros",,"1","2014-01-02 13:50:49",,
"65","COD 453 Ventas de participaciones en empresas locales a inversores directos",,"1","2014-02-04 10:26:13",,
"66","COD 865 Pagos  por contratos de cobertura de precios de commodities ",,"1","2014-05-20 16:49:41",,
"67","CESION DE IVA DE LIBRE DISPONIBILIDAD 2º párrafo ",,"1","2014-05-22 11:20:13",,
"68","COD 970 Pagos de Gastos y derechos exigibles a la importación en el país de destino, por ventas DDP",,"1","2016-04-19 13:25:38","2016-05-19 10:35:26",
"69","COD 862 INVERSIONES DE PORTAFOLIO EN EL EXT. DE PERSONA JURIDICA",,"1","2016-04-20 15:08:10",,
"70","COD 640 Gastos de inscripción y concurrencia a ferias y exposiciones internacionales",,"1","2016-04-22 10:55:34","2016-05-19 10:35:14",
"71","COD 152 Pagos anticipados de importaciones de bienes (excepto bienes de capital)",,"1","2016-04-28 13:59:48",,
"72","COD 636 Comisiones Comerciales",,"1","2016-04-29 13:20:23",,
"73","COD 216 Gastos en el país de buques, aeronaves y medios de transporte terrestre.",,"1","2016-05-19 10:34:58",,
"74","B01 Cobro de Exportaciones de Bienes",,"1","2016-09-01 10:37:45","2016-09-01 10:38:22",
"75","B02 Cobros Anticipados de Exportaciones de Bienes",,"1","2016-09-01 10:38:43",,
"76","B03 Financiaciones del exterior por exportaciones de bienes",,"1","2016-09-01 10:39:32",,
"77","B04 Financiación de bancos locales por exportaciones de bienes",,"2","2016-09-01 10:39:48","2017-07-12 10:01:20",
"78","B05 Pagos anticipados de importaciones de bienes (excepto bienes de capital)",,"2","2016-09-01 10:39:57","2019-11-13 11:22:22",
"79","B06 Pagos diferidos de importaciones de bienes (excepto bienes de capital)",,"2","2016-09-01 10:40:05","2022-07-05 10:22:24",
"80","B07 Pagos vista de importaciones de bienes",,"1","2016-09-01 10:40:13",,
"81","B08 Pagos por otras compras de bienes al exterior",,"1","2016-09-01 10:40:20",,
"82","B09 Compraventa de bienes sin paso por el país y vendidos a terceros países",,"1","2016-09-01 10:40:27",,
