"id_nota_debito","pto_vta","NroNotaDebito","Fecha","Tipo_Entidad","entidad_id","Concepto","observacion","efectivo","PorImpuesto","ImpImpuesto","Total","Estado","feccre","fecultmod","vendedor_id"
"100","2","100","2023-02-24","C","1059","Servicio de Asesoramiento ",,"1","0","0","1",,"2023-02-24 14:11:36",,
"101","2","101","2023-08-13","C","1106"," Nota de Debito de Factura:  5052",,"1800","0","0","1800",,"2023-08-13 23:22:16",,"5"
"102","2","102","2023-08-23","C","944"," Nota de Debito de Factura:  4482",,"31750.4","0","0","31750.4",,"2023-08-23 18:55:00",,
"103","2","103","2023-10-03","C","1057","Servicio de Asesoramiento ",,"40","0","0","40",,"2023-10-03 15:15:19",,
"104","2","104","2023-10-24","C","1152"," Nota de Debito de Factura:  463",,"6000","0","0","6000",,"2023-10-24 16:16:58",,"5"
"105","2","105","2023-10-25","C","1168"," Nota de Debito de Factura:  464",,"7700","0","0","7700",,"2023-10-25 18:05:42",,"5"
"106","2","106","2023-11-21","C","890"," Nota de Debito de Factura:  5242",,"49650","0","0","49650",,"2023-11-21 19:05:29",,"5"
"107","2","107","2023-12-01","C","1152"," Nota de Debito de Factura:  498",,"6000","0","0","6000",,"2023-12-01 15:07:33",,"5"
"108","2","108","2023-12-20","C","1170"," Nota de Debito de Factura:  5291",,"6000","0","0","6000",,"2023-12-20 15:38:57",,"5"
"109","2","109","2024-02-02","C","1168"," Nota de Debito de Factura:  5388",,"10164","0","0","10164",,"2024-02-02 18:11:08",,"5"
"110","2","110","2024-05-28","C","899"," Nota de Debito de Factura:",,"1016.39","21","213.44","1229.83",,"2024-05-28 09:43:53",,
"111","2","111","2024-06-05","C","1073"," Nota de Debito de Factura:  5557, 5398, 5217, 5046, 4675, 4662, 4548, 4396",,"99.12","0","0","99.12",,"2024-06-05 17:07:56",,"5"
"112","2","112","2024-06-05","C","664"," Nota de Debito de Factura:  502, 481, 455, 446, 408, 345, 324, 4780, 4728",,"42.3","0","0","42.3",,"2024-06-05 17:11:04",,"1"
"113","2","113","2024-06-05","C","1106"," Nota de Debito de Factura:",,"6054.84","0","0","6054.84",,"2024-06-05 17:13:12",,
"114","2","114","2024-06-05","C","980","Servicio de Asesoramiento ",,"182","0","0","182",,"2024-06-05 17:14:54",,
"115","2","115","2024-06-05","C","1048","Servicio de Asesoramiento ",,"300.03","0","0","300.03",,"2024-06-05 17:15:54",,
"116","2","116","2024-06-11","C","1192"," Nota de Debito de Factura:  5366",,"9906.25","21","2080.31","11986.56",,"2024-06-11 11:07:37",,"5"
"117","2","117","2024-06-11","C","1041"," Nota de Debito de Factura:  5348",,"126936.56","0","0","126936.56",,"2024-06-11 14:11:41",,"5"
"118","2","118","2024-06-11","C","1030"," Nota de Debito de Factura:  4162",,"70.37","0","0","70.37",,"2024-06-11 14:13:34",,"5"
"119","2","119","2024-06-11","C","526"," Nota de Debito de Factura:  5602",,"3158.17","0","0","3158.17",,"2024-06-11 14:14:58",,"5"
"120","2","120","2024-06-11","C","1206","Servicio de Asesoramiento ",,"217101","0","0","217101",,"2024-06-11 14:15:59",,
"121","2","121","2024-06-11","C","1078","Servicio de Asesoramiento ",,"2000.52","0","0","2000.52",,"2024-06-11 14:16:44",,
"122","2","122","2024-09-09","C","1106"," Nota de Debito de Factura:  5792",,"5800","0","0","5800",,"2024-09-09 13:58:49",,"5"
"123","2","123","2024-11-25","C","892"," Nota de Debito de Factura:  722",,"6500","0","0","6500",,"2024-11-25 17:02:49",,"5"
"124","2","124","2024-12-02","C","1152"," Nota de Debito de Factura:  729",,"16600","21","3486","20086",,"2024-12-02 13:22:50",,"5"
"125","2","125","2024-12-11","C","892"," Nota de Debito de Factura:  733",,"6500","0","0","6500",,"2024-12-11 16:29:39",,"5"
"126","2","126","2024-12-20","C","1152"," Nota de Debito de Factura:  608    ajuste",,"0.02","0","0","0.02",,"2024-12-20 12:03:13",,"5"
"127","2","127","2025-01-28","C","892","Servicio de Asesoramiento ",,"45.01",,,"45.01",,"2025-01-28 10:13:41",,
"128","2","128","2025-03-18","C","1170"," Nota de Debito de Factura:  6136",,"16600","21","3486","20086",,"2025-03-18 12:31:16",,"5"
"129","2","129","2025-03-31","C","1088","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:38:25",,
"130","2","130","2025-03-31","C","953","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:38:50",,
"131","2","131","2025-03-31","C","3","Servicio de Asesoramiento ",,"0.02",,,"0.02",,"2025-03-31 16:39:13",,
"132","2","132","2025-03-31","C","1042","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:39:42",,
"133","2","133","2025-03-31","C","1063","Servicio de Asesoramiento ",,"0.3",,,"0.3",,"2025-03-31 16:40:02",,
"134","2","134","2025-03-31","C","1062","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:40:34",,
"135","2","135","2025-03-31","C","1222","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:40:54",,
"136","2","136","2025-03-31","C","983","Servicio de Asesoramiento ",,"0.02",,,"0.02",,"2025-03-31 16:41:22",,
"137","2","137","2025-03-31","C","1139","Servicio de Asesoramiento ",,"0.03",,,"0.03",,"2025-03-31 16:41:53",,
"138","2","138","2025-03-31","C","928","Servicio de Asesoramiento ",,"0.01",,"0","0.01",,"2025-03-31 16:43:00",,
"139","2","139","2025-03-31","B","1313","Servicio de Asesoramiento ",,"35.37","0","0","35.37",,"2025-03-31 16:44:17",,
"140","2","140","2025-03-31","C","1044","Servicio de Asesoramiento ",,"0.01","21","0","0.01",,"2025-03-31 16:44:39",,
"141","2","141","2025-03-31","C","1135","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:45:09",,
"142","2","142","2025-03-31","C","695","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:45:40",,
"143","2","143","2025-03-31","C","915","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:46:03",,
"144","2","144","2025-03-31","C","1093","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:46:21",,
"145","2","145","2025-03-31","C","1163","Servicio de Asesoramiento ",,"0.02",,,"0.02",,"2025-03-31 16:47:01",,
"146","2","146","2025-03-31","C","1236","Servicio de Asesoramiento ",,"0.01",,"0","0.01",,"2025-03-31 16:47:31",,
"147","2","147","2025-03-31","C","893","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:47:50",,
"148","2","148","2025-03-31","C","1102","Servicio de Asesoramiento ",,"0.03","0","0","0.03",,"2025-03-31 16:48:30",,
"149","2","149","2025-03-31","C","937","Servicio de Asesoramiento ",,"0.02","0","0","0.02",,"2025-03-31 16:48:58",,
"150","2","150","2025-03-31","C","1022","Servicio de Asesoramiento ",,"0.02",,,"0.02",,"2025-03-31 16:49:23",,
"151","2","151","2025-03-31","C","1061","Servicio de Asesoramiento ",,"2.05","0","0","2.05",,"2025-03-31 16:49:55",,
