"id","entidad_id","honorario_producto_id","honorario_id","producto_id","importe","created_at","updated_at"
"177","1135","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"178","1136","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"179","1137","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"180","1138","49","9","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"181","1139","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"182","1132","48","8","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"183","1140","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"184","1141","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"185","1129","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"186","1142","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"187","1143","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"188","1144","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"189","1145","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"190","1146","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"191","933","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"192","1147","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"193","915","8","2","9","2450","2026-6-25 14:04:04","2026-6-25 14:04:04"
"194","1059","8","2","9","2450","2026-6-25 14:04:04","2026-6-25 14:04:04"
"195","1040","44","4","9","2350","2026-6-25 14:04:04","2026-6-25 14:04:04"
"196","1039","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"197","942","48","8","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"198","1077","49","9","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"199","1026","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"200","1043","44","4","9","2350","2026-6-25 14:04:04","2026-6-25 14:04:04"
"201","153","48","8","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"202","1069","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"203","727","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"204","1148","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"205","1149","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"206","1150","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"207","1091","48","8","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"208","916","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"209","890","50","10","9","1900","2026-6-25 14:04:04","2026-6-25 14:04:04"
"210","1151","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"211","1152","47","7","9","2805","2026-6-25 14:04:04","2026-6-25 14:04:04"
